"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		108",서울,1907-10-01,13.9,20.2,25.4,1907-10-05,8.3,3.3,1907-10-24
"		108",서울,1907-11-01,5.3,10.2,21.3,1907-11-01,0.6,-8.9,1907-11-30
"		108",서울,1907-12-01,-3.9,0.8,9,1907-12-13,-8.7,-20.1,1907-12-23
"		108",서울,1908-01-01,-3.5,0.1,6.2,1908-01-31,-7.5,-14.3,1908-01-22
"		108",서울,1908-02-01,-4,0.8,8.4,1908-02-27,-8.8,-15.8,1908-02-07
"		108",서울,1908-03-01,2.9,8.1,18.2,1908-03-29,-1.7,-7.4,1908-03-02
"		108",서울,1908-04-01,10.1,16.5,22.9,1908-04-20,4.6,-0.7,1908-04-07
"		108",서울,1908-05-01,14.9,21.1,25.2,1908-05-25,10,5.2,1908-05-04
"		108",서울,1908-06-01,20.7,26.8,32.4,1908-06-23,16.3,11.6,1908-06-08
"		108",서울,1908-07-01,23.5,27.6,32.9,1908-07-24,20.3,14.7,1908-07-06
"		108",서울,1908-08-01,24.3,29.2,33.6,1908-08-06,21,14.8,1908-08-30
"		108",서울,1908-09-01,19.3,25,28.7,1908-09-05,14.7,9,1908-09-24
"		108",서울,1908-10-01,13.6,19.9,25.3,1908-10-22,7.7,-0.3,1908-10-30
"		108",서울,1908-11-01,3.6,8.9,18.9,1908-11-05,-1.5,-8.6,1908-11-28
"		108",서울,1908-12-01,-0.8,4.7,11.7,1908-12-14,-6,-12.7,1908-12-31
"		108",서울,1909-01-01,-2.5,2,7.6,1909-01-04,-7.3,-13.6,1909-01-22
"		108",서울,1909-02-01,-3.2,2.1,8.8,1909-02-14,-8.6,-13.2,1909-02-07
"		108",서울,1909-03-01,1.8,7.3,15.2,1909-03-11,-3.1,-8.7,1909-03-03
"		108",서울,1909-04-01,10.4,16.6,23.3,1909-04-25,4.6,-1.6,1909-04-16
"		108",서울,1909-05-01,15.4,21.8,29.8,1909-05-30,10.2,5.7,1909-05-01
"		108",서울,1909-06-01,20.6,26.7,31.7,1909-06-01,15.8,11.2,1909-06-10
"		108",서울,1909-07-01,24.6,28.8,31.8,1909-07-23,21.4,15.4,1909-07-05
"		108",서울,1909-08-01,25.3,29.5,35.6,1909-08-08,22.3,19.8,1909-08-31
"		108",서울,1909-09-01,20.2,25.8,29.5,1909-09-19,15.8,10.1,1909-09-30
"		108",서울,1909-10-01,12.2,18.4,26.5,1909-10-03,6.6,-0.8,1909-10-30
"		108",서울,1909-11-01,5.2,11.4,20.3,1909-11-03,-0.8,-7,1909-11-30
"		108",서울,1909-12-01,-3.4,1,11,1909-12-31,-7.8,-14.6,1909-12-26
"		108",서울,1910-01-01,-2.2,1.9,8,1910-01-04,-5.6,-19.9,1910-01-31
"		108",서울,1910-02-01,-3.4,2,8.3,1910-02-25,-8.2,-19.6,1910-02-02
"		108",서울,1910-03-01,2.5,7.9,15,1910-03-25,-2.6,-8.6,1910-03-06
