,title,text,date
0,엘지 휘센 인공지능스스로에어컨(FQ19P7DPAN) 누수현상 해결...,엘지 인공지능스스로에어컨 분해방법은 해 보지 않으면 어렵고 당황스럽지만 막상 해 보면 쉽습니다. 다만 몇 가지 조심해야 할 부분이 있어 정리합니다. 먼저 엘지 휘센 인공기능스스로 에어컨의 전원 플러그는 실외기에서 공급을 받으니 실외기 쪽으로 가셔서 전원 플러글...,2023.08.09.
1,"로보어드바이저 수익률 비교, 인공지능 투자 성과는?",그럼 인공지능인 로보어드바이저와 일반 펀드의 운용 성과는 어땠을까요? 2022년 펀드 운용 성과 2022년 우리나라 국민의 일반펀드 평균... 저도 그렇지만 인공지능이 운용하는 상품을 찾고 계신 분들도 의외로 많습니다. 제가 현재 가입하고 있다는 이야기를 하면 대부분의...,2023.09.26.
2,[종목분석] 의료 인공지능 딥노이드 주가 전망을 살펴봅니다,그 중에서 오늘은 인공지능 딥노이드 주가를 살펴보려고 하는데 해당 종목은 이미 많이 상승한 상태입니다. 그렇다고 버릴 수는... ▣인공지능이란 AI는 Artificial Intelligence의 약자로 인간의 지적능력을 컴퓨터를 통해 구현하는 과학기술입니다. 4차 산업혁명으로 국내 뿐만...,2023.08.30.
3,AI 인공지능 파이토치 서적으로 가볍게 시작해보죠,인공지능이 표면적으로 한풀 꺽였다고는 하지만 관련된 서적과 툴들은 꾸준하게 발전하고 있습니다. 언어모델 개발뿐만 아니랄 이를... 10. 인공지능과 코딩 프로그래밍이라는 단어아래 후끈한 이 시장에 알고 있어야 사람을 구하고 일도 시킬 수 있어서 오늘도 공부를 해야 하네요...,2023.10.02.
4,NPU 관련주 뜻 - 인공지능 구글 텔레칩스 칩스앤미디어 주가 전망,NPU 관련주 뜻 - 인공지능 구글 텔레칩스 칩스앤미디어 주가 전망 NPU 뜻 NPU 는 Neural Processing Unit 의 약자로서 인간의 신경망을 따라하여 만들어진 인공신경망을 구현할 수 있는 반도체입니다. 인공지능 개발의 핵심적인 역할을 합니다. 컴퓨터의 두뇌는 CPU 로 만들어집니다....,2023.10.09.
5,인공지능에 기반한 신약개발 관련 기업들에 대한 생각,이 글에서는 그동안 단편적으로 언급했던 인공지능에 기반한 신약개발 바이오 기업들에 대한 생각을 간단히 정리하고자 합니다. 오늘... 리커전 파마슈티컬스는 보도자료를 통해 엔비디아 클라우드 서비스를 사용해 인공지능 기반 모델의 개발을 가속화할 것이라고 밝혔고...,2023.07.13.
6,인공지능(AI)이 인간의 일자리를 감소시킬 것인가?,"인공지능이 인간의 일자리를 대체? 이 질문은 최근에 사람들의 관심을 끌며 치열한 논쟁을 일으키고 있습니다. ChatGPT, Bard 및 Mindjourney와... 감성지능 수준이 부족하다고 주장합니다. 일부 낙관론자들은 AI가 특정 역할에서 인간의 능력을 향상시킬 수는 있지만 대체할 수는 없다고...",2023.07.13.
7,"태양광 발전소 고장, 인공지능이 물샐틈없이 관리한다!","한국에너지기술연구원 신재생시스템연구실 고석환 박사 연구진은 인공지능(AI)을 활용한 태양광 발전 고장 진단 기술을 개발했습니다. 10년 이상 태양광발전소 고장진단평가를 수행하며 수집한 I-V곡선* 정보를 데이터베이스화하고, 모델을 적용해 현장에 가지 않고도...",2023.10.10.
8,인공지능 AI 스피커 삼성 갤럭시 홈미니 기능,"버들붕어입니다.^^ 이버 시간에는 인공지능 AI 스피커 삼성 갤럭시 홈미니 기능에 대해 자세하게 알아보도록 하겠습니다. 해당 제품은... 사진출처: Samsung 온라인 몰을 이용한 최저가 금액으로는 7만 원대에 AI 인공지능 스피커 구매할 수 있으며, 앞서 말한 거와 같이 MINI...",2023.09.04.
9,AI인공지능 관련주 산업의 발달은 기계가 하게되는걸까,"언젠가부터 로봇에관련된 산업들이 다시금 발전을 하고 주목을 받고있으며, 챗gdp라는 기능이 도입이 되면서 AI인공지능에 관련된... AI인공지능 관련주 주가 단순하게 생각을 해보면 일상생활을 하면서 영향을 줄수있는 산업들에도 많이 분포가 되어있겠지만, 우리들이 모르고있는...",2023.09.05.
