등록번호 기관 코드,행정구역,출장소구분,기관_명,변동일자,변경전_등록번호_기관_코드,변경전_기관_명,사용_여부
1120,서울특별시 마포구,출장소아님,마포구,,,,사용
1100,서울특별시,,서울특별시,,,,사용
1111,서울특별시 종로구,출장소아님,종로구,,,,사용
1112,서울특별시 중구,출장소아님,중구,,,,사용
1113,서울특별시 용산구,출장소아님,용산구,,,,사용
1114,서울특별시 성동구,출장소아님,성동구,,,,사용
1115,서울특별시 동대문구,출장소아님,동대문구,,,,사용
1117,서울특별시 도봉구,출장소아님,도봉구,,,,사용
1118,서울특별시 은평구,출장소아님,은평구,,,,사용
1119,서울특별시 서대문구,출장소아님,서대문구,,,,사용
1121,서울특별시 강서구,출장소아님,강서구,,,,사용
1122,서울특별시 구로구,출장소아님,구로구,,,,사용
1123,서울특별시 영등포구,출장소아님,영등포구,,,,사용
1124,서울특별시 동작구,출장소아님,동작구,,,,사용
1125,서울특별시 관악구,출장소아님,관악구,,,,사용
1126,서울특별시 강남구,출장소아님,강남구,,,,사용
1127,서울특별시 강동구,출장소아님,강동구,,,,사용
1128,서울특별시 중랑구,출장소아님,중랑구,1988-01-01,1115,동대문구,사용
1129,서울특별시 노원구,출장소아님,노원구,1988-01-01,1117,도봉구,사용
1130,서울특별시 양천구,출장소아님,양천구,1988-01-01,1121,강서구,사용
1131,서울특별시 서초구,출장소아님,서초구,1988-01-01,1126,강남구,사용
1132,서울특별시 송파구,출장소아님,송파구,1988-01-01,1127,강동구,사용
2100,부산광역시,,부산광역시,,,,사용
2111,부산광역시 중구,출장소아님,중 구,,,,사용
2112,부산광역시 서구,출장소아님,서 구,,,,사용
2113,부산광역시 동구,출장소아님,동 구,,,,사용
2114,부산광역시 영도구,출장소아님,영도구,,,,사용
2115,부산광역시 부산진구,출장소아님,부산진구,,,,사용
2116,부산광역시 동래구,출장소아님,동래구,,,,사용
2117,부산광역시 남구,출장소아님,남 구,,,,사용
2118,부산광역시 북구,출장소아님,북 구,,,,사용
2119,부산광역시 해운대구,출장소아님,해운대구,,,,사용
2120,부산광역시 사하구,출장소아님,사하구,,,,사용
2121,부산광역시 금정구,출장소아님,금정구,1988-01-01,2116,동래구,사용
2122,부산광역시 강서구,출장소아님,강서구,1989-01-01,3839,의창군,사용
2200,대구광역시,,대구광역시,,,,사용
2211,대구광역시 중구,출장소아님,중 구,,,,사용
2212,대구광역시 동구,출장소아님,동 구,,,,사용
2213,대구광역시 서구,출장소아님,서구,,,,사용
2214,대구광역시 남구,출장소아님,남 구,,,,사용
2215,대구광역시 북구,출장소아님,북 구,,,,사용
2216,대구광역시 수성구,출장소아님,수성구,,,,사용
2217,대구광역시 달서구,출장소아님,달서구,1990-01-01,2213,서구,사용
2300,인천광역시,,인천광역시,,,,사용
2311,인천광역시 중구,출장소아님,중구,1989-01-01,3149,옹진군,사용
2312,인천광역시 동구,출장소아님,동 구,,,,사용
2313,인천광역시 남구,,남 구,,,,미사용
2314,인천광역시 북구,,북 구,1989-01-01,3147,김포군,미사용
2315,인천광역시 남동구,출장소아님,남동구,1988-01-01,2313,남구,사용
2316,인천광역시 서구,출장소아님,서 구,1988-01-01,2314,북 구,사용
2400,광주광역시,,광주광역시,,,,사용
2411,광주광역시 동구,출장소아님,동구,1986-11-01,3601,광주시동구,사용
2412,광주광역시 서구,출장소아님,서 구,1986-11-01,3602,광주시서구,사용
2413,광주광역시 북구,출장소아님,북구,1986-11-01,3603,광주시북구,사용
2414,광주광역시 광산구,출장소아님,광산구,1988-01-01,3616,송정시,사용
2500,대전광역시,,대전광역시,,,,사용
2511,대전광역시 동구,출장소아님,동구,1989-01-01,3401,대전시동구,사용
2512,대전광역시 중구,출장소아님,중구,1989-01-01,3402,대전시중구,사용
2513,대전광역시 서구,출장소아님,서구,1989-01-01,3403,대전시서구,사용
2514,대전광역시 유성구,출장소아님,유성구,1989-01-01,3432,대덕군,사용
2515,대전광역시 대덕구,출장소아님,대덕구,1989-01-01,3432,대덕군,사용
3100,경기도,,경기도,,,,사용
3101,경기도 부천시 소사구,출장소아님,부천시소사구,1988-01-01,3115,부천시,미사용
3102,경기도 부천시 원미구,출장소아님,부천시원미구,1988-01-01,3115,부천시,미사용
3103,경기도 수원시 장안구,출장소아님,수원시장안구,1988-07-01,3111,수원시,사용
3104,경기도 수원시 권선구,출장소아님,수원시권선구,1988-07-01,3111,수원시,사용
3105,경기도 성남시 수정구,출장소아님,성남시수정구,1989-05-01,3112,성남시,사용
3106,경기도 성남시 중원구,출장소아님,성남시중원구,1989-05-01,3112,성남시,사용
3150,경기도 남양주시,출장소아님,남양주시,1995-01-01,3123,미금시,사용
3410,충청남도 대전시,,대전시,,,,미사용
3113,경기도 의정부시,출장소아님,의정부시,,,,사용
3631,,,광산군,,,,미사용
3109,경기도 안양시 동안구,출장소아님,안양시동안구,1992-10-01,3114,안양시,사용
3111,경기도 수원시,출장소아님,수원시,,,,미사용
3616,,,송정시,1986-11-01,3631,광산군,미사용
3116,경기도 광명시,출장소아님,광명시,,,,사용
3117,경기도 송탄시,,송탄시,1981-07-01,3134,평택군,미사용
3118,경기도 동두천시,출장소아님,동두천시,,,,사용
