거래금액,거래유형,건축년도,년,등기일자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"113,000",중개거래,2000,2023,23.09.20,청운동,청운현대,8,29,103.67,서울 종로구,56-45,11110,4,,
"215,000",중개거래,2004,2023,,내수동,경희궁의아침4단지,8,11,145.96,서울 종로구,73,11110,5,,
"65,000",중개거래,1981,2023,,신문로1가,신문로맨션,8,25,81.28,서울 종로구,238,11110,8,,
"65,000",중개거래,1981,2023,,신문로1가,신문로맨션,8,25,81.28,서울 종로구,238,11110,8,23.10.20,O
"41,000",중개거래,2003,2023,23.10.31,익선동,현대뜨레비앙,8,23,48.54,서울 종로구,55,11110,6,,
"21,000",중개거래,2014,2023,,연건동,이화에수풀,8,16,19.86,서울 성북구,195-10,11110,7,,
"119,000",중개거래,1995,2023,23.10.05,명륜2가,아남1,8,2,84.9,서울 종로구,4,11110,10,,
"205,000",중개거래,1999,2023,,명륜2가,아남3,8,11,172.17,"서울 강남구, 서울 종로구",237,11110,3,23.10.13,O
"205,000",중개거래,1999,2023,23.10.13,명륜2가,아남3,8,11,172.17,"서울 강남구, 서울 종로구",237,11110,3,,
"84,000",중개거래,1999,2023,23.10.31,창신동,두산,8,19,59.95,서울 종로구,232,11110,1,,
"100,500",중개거래,2009,2023,23.10.17,숭인동,종로청계힐스테이트,8,4,84.9478,서울 종로구,766,11110,20,,
"13,650",중개거래,2013,2023,,숭인동,종로중흥S클래스,8,11,19.466,서울 종로구,202-3,11110,9,23.09.06,O
"14,500",중개거래,2014,2023,23.08.14,숭인동,삼전솔하임4차,8,12,15.09,서울 은평구,318-2,11110,17,,
"95,000",중개거래,2008,2023,,숭인동,종로센트레빌,8,26,84.92,서울 종로구,2-1,11110,2,,
"80,000",중개거래,2009,2023,23.11.13,숭인동,종로청계힐스테이트,8,29,59.9426,서울 종로구,766,11110,10,,
"90,000",중개거래,2004,2023,23.10.16,숭인동,롯데캐슬천지인,8,31,84.95,서울 종로구,76,11110,4,,
"165,000",중개거래,2017,2023,23.10.20,평동,경희궁자이(3단지),8,11,77.6543,서울 종로구,233,11110,2,,
"185,000",중개거래,2017,2023,23.08.29,평동,경희궁자이(3단지),8,16,84.8359,서울 종로구,233,11110,4,,
"148,200",중개거래,2017,2023,,평동,경희궁자이(3단지),8,19,59.7547,서울 종로구,233,11110,5,,
"177,000",중개거래,2017,2023,,평동,경희궁자이(3단지),8,26,77.6543,서울 종로구,233,11110,4,,
"150,000",중개거래,2017,2023,23.11.09,평동,경희궁자이(3단지),8,31,59.8547,서울 종로구,233,11110,2,,
"200,000",중개거래,2017,2023,23.09.18,홍파동,경희궁자이(2단지),8,2,84.9443,서울 종로구,199,11110,19,,
"188,000",중개거래,2017,2023,23.10.06,홍파동,경희궁자이(2단지),8,7,84.8359,"서울 은평구, 서울 종로구",199,11110,20,,
"310,000",중개거래,2017,2023,,홍파동,경희궁자이(2단지),8,7,138.6533,서울 종로구,199,11110,8,,
"183,000",중개거래,2017,2023,23.10.31,홍파동,경희궁자이(2단지),8,12,84.9895,서울 종로구,199,11110,7,,
"278,000",중개거래,2017,2023,23.11.28,홍파동,경희궁자이(2단지),8,14,116.9383,서울 종로구,199,11110,18,,
"196,500",중개거래,2017,2023,23.11.07,홍파동,경희궁자이(2단지),8,15,84.8359,서울 종로구,199,11110,12,,
"153,500",중개거래,2017,2023,23.11.10,홍파동,경희궁자이(2단지),8,16,59.895,"서울 서대문구, 서울 종로구",199,11110,11,,
"250,000",중개거래,2017,2023,23.10.20,홍파동,경희궁자이(2단지),8,24,101.9914,서울 종로구,199,11110,18,,
"155,000",중개거래,2017,2023,23.10.27,홍파동,경희궁자이(2단지),8,26,59.895,서울 종로구,199,11110,4,,
"195,000",중개거래,2017,2023,,홍파동,경희궁자이(2단지),8,29,84.8359,서울 종로구,199,11110,15,,
"71,600",중개거래,1996,2023,23.10.31,평창동,일성빌라트,8,4,84.99,서울 종로구,145-5,11110,4,,
"18,900",중개거래,1997,2023,23.09.11,평창동,갑을아파트,8,21,32.56,서울 종로구,595,11110,9,,
"148,000",중개거래,2004,2023,23.11.23,평창동,벽산블루밍평창힐스,8,23,155.97,서울 종로구,45,11110,4,,
"126,950",중개거래,2000,2023,23.09.08,무악동,현대,8,11,114.9,서울 종로구,82,11110,7,,
"70,990",중개거래,2000,2023,23.11.20,무악동,현대,8,12,60,서울 종로구,82,11110,1,,
"84,750",중개거래,2000,2023,23.11.20,무악동,현대,8,12,60,서울 종로구,82,11110,8,,
"119,950",중개거래,2000,2023,23.11.20,무악동,현대,8,12,84.92,서울 종로구,82,11110,10,,
"80,990",중개거래,2000,2023,23.10.23,무악동,현대,8,16,60,"서울 서대문구, 서울 종로구",82,11110,7,,
"147,500",중개거래,2019,2023,23.12.01,무악동,경희궁롯데캐슬,8,26,84.8792,서울 종로구,89,11110,14,,
