거래금액,거래유형,건축년도,년,등기일자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"200,000",중개거래,2008,2023,23.01.20,사직동,광화문스페이스본(106동),1,20,163.33,서울 종로구,9-1,11110,12,,
"79,000",중개거래,2006,2023,23.02.28,인의동,효성쥬얼리시티,1,26,84.7,서울 종로구,48-2,11110,17,,
"12,200",중개거래,2014,2023,23.01.31,숭인동,숭인한양LEEPS,1,20,12.78,서울 종로구,1421-2,11110,7,,
"169,000",중개거래,2017,2023,23.03.16,홍파동,경희궁자이(2단지),1,27,84.8359,서울 종로구,199,11110,12,,
"18,900",중개거래,1997,2023,23.04.07,평창동,갑을아파트,1,28,30.46,서울 종로구,595,11110,6,,
"155,500",중개거래,2008,2023,23.02.28,무악동,인왕산아이파크,1,10,114.931,"경기 고양덕양구, 서울 종로구",60,11110,16,,
"99,960",중개거래,2000,2023,23.04.28,무악동,현대,1,26,84.92,서울 종로구,82,11110,6,,
"145,000",중개거래,2008,2023,23.03.24,사직동,광화문스페이스본(101동~105동),2,8,108.07,서울 종로구,9,11110,9,,
"185,000",중개거래,2003,2023,,내수동,경희궁파크팰리스,2,21,146.39,서울 종로구,95,11110,13,23.03.15,O
"185,000",중개거래,2003,2023,23.07.26,내수동,경희궁파크팰리스,2,21,146.39,서울 종로구,95,11110,13,,
"38,000",중개거래,2015,2023,23.04.17,연지동,아르젠종로,2,28,47.24,서울 종로구,163-3,11110,13,,
"18,800",중개거래,2014,2023,23.03.13,연건동,이화에수풀,2,18,16.98,서울 종로구,195-10,11110,11,,
"17,000",중개거래,2011,2023,23.02.15,충신동,CS타워,2,7,21.94,서울 종로구,62-2,11110,15,,
"45,000",중개거래,1966,2023,23.07.24,창신동,동대문,2,11,28.8,서울 종로구,328-17,11110,1,,
"60,000",중개거래,1992,2023,23.04.28,창신동,창신쌍용1,2,27,54.7,서울 종로구,702,11110,7,,
