거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"21,500",2016,2023,충무로5가,충무로엘크루메크로시티2차,1,18,22.75,36-2,11140,5
"27,000",1968,2023,인현동2가,인현상가(신성아파트),1,30,52.1,192-30,11140,6
"18,250",1981,2023,장충동2가,장충,1,6,62.48,193-29,11140,1
"145,000",2002,2023,신당동,남산타운,1,6,114.88,844,11140,14
"117,500",2002,2023,신당동,남산타운,1,7,84.88,844,11140,8
"114,500",2011,2023,신당동,청구e편한세상,1,9,84.95,852,11140,2
"89,500",2002,2023,신당동,남산타운,1,14,59.94,844,11140,12
"128,000",2011,2023,신당동,래미안하이베르,1,17,117,851,11140,11
"90,000",2002,2023,신당동,남산타운,1,25,59.94,844,11140,13
"23,000",2021,2023,신당동,약수역더시티,1,26,19.06,857,11140,4
"13,500",2013,2023,황학동,한양I-Class,1,3,16.37,787,11140,14
"15,500",2014,2023,황학동,DUO302,1,7,15.97,819,11140,17
"93,000",2008,2023,황학동,롯데캐슬,1,18,84.92,2545,11140,30
"13,500",2013,2023,황학동,한양I-Class,1,30,16.37,787,11140,13
"13,500",2013,2023,황학동,한양I-Class,1,30,16.37,787,11140,14
"164,500",2017,2023,만리동2가,서울역센트럴자이,1,20,84.972,176-1,11140,20
"105,000",1980,2023,후암동,후암미주,1,26,63.44,423-1,11170,4
"85,000",2004,2023,후암동,신주에지앙,1,30,106.83,302,11170,4
"152,500",2014,2023,원효로1가,용산더프라임,1,14,84.976,41,11170,11
"90,000",1971,2023,원효로4가,풍전,1,20,81.72,109-4,11170,2
"35,000",1971,2023,도원동,제일1,1,11,45.26,3-4,11170,3
"121,600",2005,2023,문배동,이안용산1차(101동),1,26,107.53,11-14,11170,3
"120,000",2004,2023,문배동,지오베르크,1,31,84.99,17-1,11170,13
"370,000",2020,2023,한강로3가,센트럴파크,1,10,135.3849,98,11170,9
"340,000",2007,2023,한강로3가,용산시티파크(1단지),1,18,143.36,63-389,11170,22
"176,000",1998,2023,이촌동,한가람,1,20,84.89,404,11170,8
"131,000",1999,2023,이촌동,이촌코오롱(A),1,26,59.82,412,11170,7
"178,000",1976,2023,한남동,장미1,1,12,78.01,732-19,11170,5
"430,000",2003,2023,한남동,힐탑트레져1동,1,25,224.21,1-44,11170,3
"140,000",2000,2023,보광동,리버빌(삼성),1,14,84.74,151,11170,15
"155,000",2016,2023,하왕십리동,센트라스,1,11,84.96,1070,11200,21
"82,500",2009,2023,하왕십리동,왕십리지웰,1,12,84.957,1064,11200,11
"108,000",2016,2023,하왕십리동,센트라스,1,17,59.94,1070,11200,15
"95,000",2001,2023,하왕십리동,한진해모로,1,19,112.26,1050,11200,15
"93,000",2015,2023,하왕십리동,텐즈힐(1단지),1,22,84.96,1066,11200,19
"73,000",1996,2023,하왕십리동,무학현대,1,28,84.675,992,11200,9
"77,500",2004,2023,하왕십리동,왕십리풍림아이원,1,31,59.936,1061,11200,4
"67,000",1998,2023,마장동,현대,1,3,59.91,818,11200,14
"68,000",1998,2023,마장동,현대,1,7,59.91,818,11200,25
"69,000",1998,2023,마장동,현대,1,27,59.94,818,11200,28
"83,000",2000,2023,행당동,대림e-편한세상,1,9,59.96,347,11200,6
"129,000",2003,2023,행당동,서울숲 한신 더 휴,1,11,114.97,349,11200,14
"118,000",2000,2023,행당동,행당한진타운,1,14,114.62,346,11200,14
"215,000",2018,2023,행당동,서울숲리버뷰자이,1,17,108.82,380,11200,12
"111,000",2000,2023,행당동,행당한진타운,1,27,84.71,346,11200,15
"108,800",2000,2023,행당동,행당한진타운,1,30,114.62,346,11200,10
"147,000",2019,2023,금호동1가,이편한세상금호파크힐스,1,18,84.982,280,11200,21
"84,000",2001,2023,금호동1가,벽산,1,20,59.9,633,11200,14
"114,500",2019,2023,금호동1가,이편한세상금호파크힐스,1,28,59.983,280,11200,3
"110,000",2016,2023,금호동2가,신금호파크자이,1,9,59.98,1,11200,13
"111,000",2016,2023,금호동2가,신금호파크자이,1,18,59.98,1,11200,5
"99,500",2012,2023,금호동2가,금호자이1차,1,25,59.99,1215,11200,14
"87,000",1994,2023,금호동3가,두산,1,7,59.97,1331,11200,9
"186,000",2007,2023,금호동4가,서울숲푸르지오,1,14,84.87,340,11200,17
"90,000",2001,2023,금호동4가,대우,1,31,84.71,800,11200,8
"133,000",2012,2023,옥수동,래미안 옥수 리버젠,1,9,59.25,561,11200,18
"135,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,14,59.91,528,11200,10
"125,000",1999,2023,옥수동,삼성,1,14,84.822,250,11200,9
"124,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,16,59.91,528,11200,8
"150,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,17,84.51,528,11200,9
"154,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,18,84.3,528,11200,15
"154,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,18,84.3,528,11200,15
"124,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,18,59.91,528,11200,6
"124,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,19,59.91,528,11200,6
"160,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,20,84.51,528,11200,3
"152,000",1998,2023,옥수동,옥수하이츠,1,21,84.86,100,11200,10
"124,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,21,59.91,528,11200,1
"110,000",1986,2023,옥수동,극동,1,26,84.74,428,11200,11
"135,000",2016,2023,옥수동,옥수파크힐스101동~116동,1,27,59.78,528,11200,9
"101,000",1990,2023,성수동1가,서울숲성수현대,1,2,84.73,676-5,11200,13
"116,500",1997,2023,성수동1가,쌍용,1,4,84.78,706,11200,12
"127,000",2003,2023,성수동2가,롯데캐슬파크,1,13,81.567,835,11200,9
"115,000",2003,2023,성수동2가,롯데캐슬파크,1,21,84.686,835,11200,2
"126,000",2003,2023,성수동2가,롯데캐슬파크,1,30,81.567,835,11200,8
"43,000",1975,2023,회현동1가,삼풍,4,17,63.87,146-1,11140,5
"21,500",2016,2023,충무로5가,충무로엘크루메크로시티2차,4,10,22.75,36-2,11140,17
"56,500",1968,2023,인현동2가,인현상가(신성아파트),4,13,87.44,192-30,11140,6
"291,000",2000,2023,장충동1가,장충동라임카운티,4,19,244.47,105-1,11140,5
"46,000",2021,2023,오장동,오장동오팰리오,4,12,29.48,139-7,11140,9
"57,000",2021,2023,오장동,오장동오팰리오,4,14,39.69,139-7,11140,11
"16,500",2020,2023,오장동,오렌지카운티을지로,4,17,12.43,145-1,11140,8
"47,000",2021,2023,오장동,오장동오팰리오,4,19,29.2,139-7,11140,13
"57,000",2021,2023,오장동,오장동오팰리오,4,28,39.69,139-7,11140,12
"104,000",2011,2023,신당동,래미안하이베르,4,1,84.85,851,11140,2
"108,000",2011,2023,신당동,청구e편한세상,4,2,59.89,852,11140,6
"80,000",1999,2023,신당동,약수하이츠,4,3,57.63,842,11140,5
"143,000",2002,2023,신당동,남산타운,4,3,114.88,844,11140,12
"145,000",2011,2023,신당동,래미안하이베르,4,3,117,851,11140,10
"80,000",1999,2023,신당동,약수하이츠,4,3,57.63,842,11140,5
"75,000",1999,2023,신당동,약수하이츠,4,5,57.63,842,11140,1
"75,000",1993,2023,신당동,현대,4,6,79.11,840,11140,8
"120,000",2002,2023,신당동,남산타운,4,8,84.88,844,11140,7
"139,500",1999,2023,신당동,약수하이츠,4,10,114.92,842,11140,11
"18,000",2001,2023,신당동,스위스빌라,4,11,38.53,432-2000,11140,3
"27,600",2021,2023,신당동,약수역더시티,4,12,18.86,857,11140,5
"72,000",2002,2023,신당동,타워,4,15,99.09,294-12,11140,5
"135,000",2011,2023,신당동,청구e편한세상,4,15,84.95,852,11140,6
"90,000",2002,2023,신당동,남산타운,4,22,59.94,844,11140,5
"95,000",1993,2023,신당동,현대,4,22,122.275,840,11140,9
"125,000",1999,2023,신당동,약수하이츠,4,26,84.88,842,11140,5
"126,700",2002,2023,신당동,남산타운,4,26,114.88,844,11140,1
"11,700",2001,2023,신당동,유정,4,27,29.4,432-1970,11140,4
"84,000",1999,2023,신당동,약수하이츠,4,29,57.63,842,11140,15
"137,500",1999,2023,신당동,약수하이츠,4,29,114.92,842,11140,9
"14,000",2014,2023,흥인동,동대문와이즈캐슬,4,5,15.55,119,11140,12
"19,800",2016,2023,흥인동,동대문솔하임,4,18,19.6,8,11140,16
"22,900",2016,2023,흥인동,동대문솔하임,4,25,21.93,8,11140,14
"70,000",2008,2023,황학동,롯데캐슬,4,1,59.94,2545,11140,28
"92,500",2008,2023,황학동,롯데캐슬,4,7,84.92,2545,11140,25
"123,000",2008,2023,황학동,롯데캐슬,4,7,114.9,2545,11140,22
"86,000",2008,2023,황학동,롯데캐슬,4,11,84.97,2545,11140,24
"14,100",2013,2023,황학동,한양I-Class,4,11,16.37,787,11140,17
"120,000",2010,2023,황학동,황학아크로타워,4,12,111.224,2523,11140,7
"104,500",2010,2023,황학동,황학아크로타워,4,14,130.939,2523,11140,5
"90,500",2008,2023,황학동,롯데캐슬,4,17,84.89,2545,11140,16
"15,300",2013,2023,황학동,한양I-Class,4,22,16.37,787,11140,17
"99,000",2007,2023,순화동,순화동더샵,4,6,84.99,151,11140,15
"47,000",2006,2023,순화동,바비엥3,4,14,46.61,215,11140,19
"47,000",2006,2023,순화동,바비엥3,4,14,46.61,215,11140,19
"153,000",2016,2023,순화동,덕수궁롯데캐슬,4,22,82.3212,217,11140,15
"58,000",2016,2023,순화동,덕수궁롯데캐슬,4,26,31.7571,217,11140,8
"130,000",2006,2023,중림동,브라운스톤서울,4,1,117.742,355,11140,19
"168,000",2013,2023,동자동,센트레빌아스테리움서울,4,17,128.06,45,11170,21
"143,000",2001,2023,산천동,리버힐삼성,4,3,114.48,193,11170,17
"81,000",2001,2023,산천동,한강타운,4,6,59.69,204,11170,3
"135,000",2001,2023,산천동,리버힐삼성,4,24,114.48,193,11170,10
"105,000",2001,2023,산천동,리버힐삼성,4,28,59.55,193,11170,14
"300,000",2005,2023,청암동,GS자이,4,7,223.75,181,11170,7
"88,000",2006,2023,효창동,세양청마루,4,7,59.28,268,11170,9
"81,500",1987,2023,효창동,효창한신,4,10,60.4,5-145,11170,6
"145,000",2019,2023,효창동,용산롯데캐슬센터포레,4,17,59.9525,287,11170,14
"65,000",2004,2023,효창동,예빌리지,4,19,107.83,5-262,11170,7
"124,000",2001,2023,도원동,삼성래미안,4,17,84.69,23,11170,11
"124,700",2001,2023,도원동,삼성래미안,4,21,84.92,23,11170,19
"96,500",2001,2023,도원동,삼성래미안,4,21,59.94,23,11170,1
"144,000",2001,2023,도원동,삼성래미안,4,27,114.99,23,11170,6
"16,200",2012,2023,문배동,프라임펠리스,4,12,13.69,24-8,11170,17
"237,000",2011,2023,신계동,용산e편한세상,4,12,124.96,48,11170,22
"120,000",2007,2023,한강로1가,대우월드마크용산,4,1,96.645,64,11170,5
"405,000",2020,2023,한강로3가,센트럴파크,4,12,135.3849,98,11170,31
"405,000",2020,2023,한강로3가,센트럴파크,4,12,135.3849,98,11170,31
"150,500",1998,2023,이촌동,한가람,4,1,59.88,404,11170,17
"224,700",1998,2023,이촌동,강촌,4,4,114.595,402,11170,19
"183,000",2000,2023,이촌동,한강(대우),4,6,84.98,415,11170,22
"420,000",2003,2023,이촌동,LG한강자이,4,7,168.53,430,11170,25
"178,000",1999,2023,이촌동,이촌코오롱(A),4,8,84.78,412,11170,2
"180,000",1998,2023,이촌동,한가람,4,8,84.96,404,11170,21
"153,000",1998,2023,이촌동,한가람,4,10,59.88,404,11170,12
"180,000",1998,2023,이촌동,한가람,4,10,84.96,404,11170,6
"155,000",1998,2023,이촌동,한가람,4,13,59.88,404,11170,10
"223,000",2001,2023,이촌동,동부센트레빌,4,19,100.92,418,11170,14
"379,998",2015,2023,이촌동,래미안첼리투스,4,19,124.02,436,11170,23
"334,000",1971,2023,이촌동,한강맨숀,4,19,87.54,300-23,11170,2
"149,500",1998,2023,이촌동,한가람,4,20,59.88,404,11170,8
"150,000",1998,2023,이촌동,한가람,4,22,59.88,404,11170,8
"153,000",1998,2023,이촌동,한가람,4,22,59.88,404,11170,7
"250,000",1998,2023,이촌동,한가람,4,24,114.96,404,11170,14
"224,500",1974,2023,이촌동,왕궁,4,27,102.48,300-11,11170,1
"370,000",2003,2023,이촌동,LG한강자이,4,27,168.53,430,11170,4
"183,000",1982,2023,이태원동,청화1,4,8,104.69,22-2,11170,6
"245,000",1982,2023,이태원동,청화1,4,13,142.71,22-2,11170,3
"185,000",1982,2023,이태원동,청화1,4,21,105.72,22-2,11170,9
"302,000",1982,2023,이태원동,청화1,4,27,174.38,22-2,11170,7
"189,000",1982,2023,이태원동,청화1,4,29,104.69,22-2,11170,8
"170,000",2001,2023,한남동,리버티하우스,4,20,143.15,258,11170,13
"362,000",2003,2023,한남동,힐탑트레져1동,4,22,208.88,1-44,11170,3
"229,000",1984,2023,서빙고동,신동아,4,18,95.66,241-21,11170,8
"128,000",2014,2023,상왕십리동,텐즈힐(2구역),4,1,84.92,811,11200,2
"134,000",2014,2023,상왕십리동,텐즈힐(2구역),4,15,84.92,811,11200,4
"140,000",2014,2023,상왕십리동,텐즈힐(2구역),4,20,84.92,811,11200,7
"132,000",2014,2023,상왕십리동,텐즈힐(2구역),4,29,84.9,811,11200,5
"82,500",1996,2023,하왕십리동,청계벽산,4,1,71.33,258,11200,6
"86,000",2004,2023,하왕십리동,왕십리풍림아이원,4,7,59.936,1061,11200,8
"85,700",2004,2023,하왕십리동,왕십리풍림아이원,4,7,59.936,1061,11200,16
"69,500",2001,2023,하왕십리동,극동미라주,4,8,59.4,1058,11200,12
"91,000",2016,2023,하왕십리동,왕십리KCC스위첸,4,8,64.236,1002,11200,7
"147,500",2015,2023,하왕십리동,텐즈힐(1단지),4,8,84.88,1066,11200,9
"145,700",2015,2023,하왕십리동,텐즈힐(1단지),4,11,84.88,1066,11200,10
"219,000",2015,2023,하왕십리동,텐즈힐(1단지),4,13,148.94,1066,11200,21
"112,000",1996,2023,하왕십리동,청계벽산,4,13,114.46,258,11200,9
"74,000",2016,2023,하왕십리동,센트라스,4,14,40.94,1070,11200,17
"116,500",2016,2023,하왕십리동,센트라스,4,16,59.93,1070,11200,9
"78,000",2016,2023,하왕십리동,센트라스,4,18,40.94,1070,11200,28
"88,000",1996,2023,하왕십리동,청계벽산,4,21,71.33,258,11200,9
"105,000",2016,2023,하왕십리동,센트라스,4,24,59.99,1070,11200,7
"155,000",2016,2023,하왕십리동,센트라스,4,28,84.99,1070,11200,23
"81,000",1989,2023,하왕십리동,한신무학,4,29,75.2,990,11200,5
"90,000",2006,2023,도선동,삼성쉐르빌,4,7,84.93,69,11200,5
"70,000",1998,2023,마장동,현대,4,1,59.91,818,11200,5
"73,000",1986,2023,마장동,세림,4,5,40.86,784,11200,11
"95,000",1999,2023,마장동,마장동중앙하이츠,4,5,84.8,819,11200,17
"15,000",2015,2023,마장동,삼성홈타운,4,18,14.45,834,11200,3
"45,400",2004,2023,마장동,신성미소지움,4,20,59.96,822,11200,3
"130,000",1998,2023,행당동,서울숲삼부아파트,4,3,84.93,147,11200,9
"98,000",2000,2023,행당동,대림e-편한세상,4,3,84.87,347,11200,9
"85,500",2000,2023,행당동,대림e-편한세상,4,5,59.96,347,11200,6
"116,000",2000,2023,행당동,행당한진타운,4,5,84.71,346,11200,8
"87,000",2000,2023,행당동,대림e-편한세상,4,6,59.96,347,11200,9
"99,600",2000,2023,행당동,대림e-편한세상,4,6,84.87,347,11200,2
"132,000",2014,2023,행당동,서울숲더샵,4,7,84.06,377,11200,25
"92,000",2005,2023,행당동,행당브라운스톤,4,7,84.94,364,11200,2
"90,000",2000,2023,행당동,행당한진타운,4,8,59.96,346,11200,6
"108,700",2003,2023,행당동,서울숲 한신 더 휴,4,8,84.95,349,11200,9
"122,000",2003,2023,행당동,서울숲 한신 더 휴,4,8,114.97,349,11200,21
"110,000",2003,2023,행당동,서울숲 한신 더 휴,4,12,84.95,349,11200,21
"109,000",2000,2023,행당동,대림e-편한세상,4,12,84.87,347,11200,10
"80,000",2000,2023,행당동,대림e-편한세상,4,12,59.96,347,11200,1
"70,000",1995,2023,행당동,신동아,4,13,59.97,344,11200,1
"94,000",2003,2023,행당동,서울숲 한신 더 휴,4,15,59.94,349,11200,19
"73,000",1995,2023,행당동,신동아,4,15,59.97,344,11200,5
"125,000",2000,2023,행당동,대림e-편한세상,4,15,114.94,347,11200,3
"119,000",2000,2023,행당동,대림e-편한세상,4,15,114.94,347,11200,14
"100,000",2000,2023,행당동,대림e-편한세상,4,15,84.87,347,11200,15
"73,000",1995,2023,행당동,신동아,4,15,59.97,344,11200,5
"95,000",2003,2023,행당동,서울숲 한신 더 휴,4,15,59.91,349,11200,5
"107,500",2003,2023,행당동,서울숲 한신 더 휴,4,16,84.95,349,11200,8
"74,800",1995,2023,행당동,신동아,4,19,59.97,344,11200,8
"76,000",1995,2023,행당동,신동아,4,22,59.97,344,11200,5
"123,500",2000,2023,행당동,행당한진타운,4,22,114.62,346,11200,13
"92,500",2003,2023,행당동,서울숲 한신 더 휴,4,22,59.94,349,11200,12
"120,000",2000,2023,행당동,대림e-편한세상,4,22,114.94,347,11200,11
"84,000",2005,2023,행당동,행당브라운스톤,4,22,59.27,364,11200,1
"91,000",2000,2023,행당동,행당한진타운,4,25,59.96,346,11200,20
"125,000",2014,2023,행당동,서울숲더샵,4,25,84.06,377,11200,14
"77,000",1995,2023,행당동,신동아,4,26,59.97,344,11200,7
"96,000",2003,2023,행당동,서울숲 한신 더 휴,4,26,59.94,349,11200,16
"160,000",2018,2023,행당동,서울숲리버뷰자이,4,27,84.95,380,11200,16
"157,500",2018,2023,행당동,서울숲리버뷰자이,4,27,84.95,380,11200,8
"155,000",2018,2023,행당동,서울숲리버뷰자이,4,27,84.9,380,11200,7
"87,500",2000,2023,행당동,대림e-편한세상,4,27,59.96,347,11200,6
"118,200",2000,2023,행당동,행당한진타운,4,29,114.62,346,11200,5
"90,500",2000,2023,행당동,행당한진타운,4,29,59.96,346,11200,18
"104,000",2000,2023,행당동,대림e-편한세상,4,29,84.87,347,11200,11
"49,280",1989,2023,응봉동,대림(2차),4,3,59.91,97,11200,3
"149,500",1986,2023,응봉동,대림(1차),4,8,126.66,100,11200,14
"94,000",2001,2023,응봉동,대림강변타운,4,29,59.76,15,11200,17
"65,200",1996,2023,응봉동,신동아,4,29,59.97,275,11200,1
"105,000",2006,2023,금호동1가,신금호두산위브,4,1,116.79,1818,11200,3
"88,500",2001,2023,금호동1가,벽산,4,1,59.9,633,11200,10
"146,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,3,84.932,280,11200,5
"117,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,8,59.983,280,11200,3
"122,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,9,59.983,280,11200,4
"110,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,12,59.949,280,11200,2
"126,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,12,59.983,280,11200,12
"145,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,17,84.932,280,11200,12
"140,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,18,84.932,280,11200,4
"129,000",2001,2023,금호동1가,금호삼성래미안,4,18,84.45,1500,11200,14
"127,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,22,59.949,280,11200,3
"143,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,25,84.982,280,11200,2
"89,900",2001,2023,금호동1가,금호삼성래미안,4,26,59.95,1500,11200,10
"93,000",2001,2023,금호동1가,벽산,4,28,59.9,633,11200,7
"149,000",2019,2023,금호동1가,이편한세상금호파크힐스,4,29,84.932,280,11200,6
"149,000",2016,2023,금호동2가,신금호파크자이,4,7,84.98,1,11200,18
"126,000",2012,2023,금호동2가,래미안하이리버,4,8,84.98,1217,11200,19
"120,500",2012,2023,금호동2가,래미안하이리버,4,9,84.99,1217,11200,2
"107,500",2012,2023,금호동2가,금호자이1차,4,14,59.98,1215,11200,4
"107,500",2012,2023,금호동2가,금호자이1차,4,15,59.98,1215,11200,4
"109,500",2012,2023,금호동2가,래미안하이리버,4,19,59.99,1217,11200,12
"139,000",2016,2023,금호동2가,신금호파크자이,4,27,84.98,1,11200,4
"95,000",2012,2023,금호동3가,금호자이2차,4,8,59.9663,700,11200,10
"90,500",2005,2023,금호동3가,금호1차푸르지오,4,8,59.97,917,11200,14
"85,500",1994,2023,금호동3가,두산,4,15,59.97,1331,11200,5
"99,000",2012,2023,금호동3가,금호자이2차,4,15,59.9663,700,11200,11
"90,000",1994,2023,금호동3가,두산,4,15,59.97,1331,11200,12
"96,000",1994,2023,금호동3가,두산,4,15,79.08,1331,11200,15
"87,000",1994,2023,금호동3가,두산,4,26,59.97,1331,11200,8
"99,000",2001,2023,금호동4가,대우,4,1,59.97,800,11200,24
"102,500",2001,2023,금호동4가,대우,4,12,59.97,800,11200,4
"160,000",2018,2023,금호동4가,힐스테이트서울숲리버,4,27,84.88,1553,11200,2
"160,000",2016,2023,옥수동,옥수파크힐스101동~116동,4,1,84.64,528,11200,8
"157,000",2012,2023,옥수동,래미안 옥수 리버젠,4,4,84.73,561,11200,5
"127,500",2012,2023,옥수동,래미안 옥수 리버젠,4,5,59.98,561,11200,12
"107,000",1999,2023,옥수동,삼성,4,7,59.7,250,11200,11
"129,000",1999,2023,옥수동,삼성,4,15,84.822,250,11200,14
"118,500",1999,2023,옥수동,삼성,4,15,59.7,250,11200,14
"135,000",2012,2023,옥수동,래미안 옥수 리버젠,4,15,59.25,561,11200,15
"120,000",1990,2023,옥수동,현대,4,16,71.05,4,11200,13
"107,000",1999,2023,옥수동,삼성,4,19,59.7,250,11200,6
"159,000",2012,2023,옥수동,래미안 옥수 리버젠,4,19,84.81,561,11200,7
"137,000",2016,2023,옥수동,옥수파크힐스101동~116동,4,19,59.91,528,11200,7
"155,000",1999,2023,옥수동,삼성,4,22,114.666,250,11200,10
"122,000",1990,2023,옥수동,현대,4,24,71.05,4,11200,9
"166,000",2016,2023,옥수동,옥수파크힐스101동~116동,4,26,84.3,528,11200,16
"157,000",2012,2023,옥수동,래미안 옥수 리버젠,4,27,84.51,561,11200,12
"120,500",2012,2023,옥수동,래미안 옥수 리버젠,4,27,59.25,561,11200,1
"139,000",2016,2023,옥수동,옥수파크힐스101동~116동,4,28,59.88,528,11200,8
"133,500",2012,2023,옥수동,래미안 옥수 리버젠,4,29,59.25,561,11200,20
"135,000",2016,2023,옥수동,옥수파크힐스117동~125동,4,30,59.59,528-1,11200,9
"100,000",1997,2023,성수동1가,쌍용,4,6,59.76,706,11200,9
"169,500",2017,2023,성수동1가,트리마제,4,8,35.4442,718,11200,11
"170,500",2002,2023,성수동1가,강변건영아파트,4,11,84.952,710,11200,10
"106,000",1997,2023,성수동1가,쌍용,4,14,59.76,706,11200,15
"100,000",1997,2023,성수동1가,쌍용,4,17,59.76,706,11200,15
"169,000",1983,2023,성수동1가,동아,4,17,97.02,656-320,11200,7
"675,000",2020,2023,성수동1가,아크로서울포레스트,4,19,159.603,685-700,11200,45
"180,000",1983,2023,성수동1가,동아,4,21,97.02,656-320,11200,9
"146,000",1994,2023,성수동1가,한진타운,4,22,84.21,704,11200,5
"575,000",2020,2023,성수동1가,아크로서울포레스트,4,27,164.856,685-700,11200,3
"140,000",2003,2023,성수동2가,롯데캐슬파크,4,4,81.567,835,11200,12
"140,000",2003,2023,성수동2가,롯데캐슬파크,4,4,81.567,835,11200,12
"67,500",1999,2023,성수동2가,성수1차대우아파트,4,11,59.49,279-50,11200,6
"152,000",2006,2023,성수동2가,성수동두산위브,4,22,131.2,838,11200,2
"142,000",2011,2023,회현동1가,남산롯데캐슬아이리스,7,15,103.49,208,11140,19
"180,000",2010,2023,회현동2가,쌍용남산플래티넘,7,11,139.8,87,11140,8
"190,000",2010,2023,회현동2가,쌍용남산플래티넘,7,11,166.24,87,11140,5
"200,000",2010,2023,회현동2가,쌍용남산플래티넘,7,25,166.24,87,11140,21
"59,100",1970,2023,충무로4가,진양상가,7,27,71.93,120-3,11140,5
"22,000",2016,2023,충무로5가,충무로엘크루메크로시티2차,7,17,22.75,36-2,11140,10
"35,800",1968,2023,인현동2가,인현상가(신성아파트),7,8,48.56,192-30,11140,10
"38,700",2023,2023,인현동2가,세운푸르지오헤리시티,7,15,28.4064,240,11140,10
"35,000",1968,2023,인현동2가,인현상가(신성아파트),7,17,49.88,192-30,11140,8
"40,000",2023,2023,인현동2가,세운푸르지오헤리시티,7,21,24.5533,240,11140,17
"62,000",1999,2023,예장동,예장동삼익,7,1,60.39,9,11140,3
"12,000",1981,2023,장충동2가,장충,7,5,31.24,193-29,11140,7
"22,800",1981,2023,장충동2가,장충,7,12,62.48,193-29,11140,6
"80,500",2006,2023,을지로5가,삼성파크빌,7,25,84.92,39-1,11140,14
"80,500",2006,2023,을지로5가,삼성파크빌,7,25,84.92,39-1,11140,14
"44,900",2023,2023,입정동,힐스테이트세운센트럴1단지,7,25,25.0654,277,11140,17
"28,200",2021,2023,신당동,약수역더시티,7,1,18.86,857,11140,11
"94,500",2002,2023,신당동,남산타운,7,1,59.94,844,11140,6
"105,000",1999,2023,신당동,약수하이츠,7,3,57.63,842,11140,7
"94,800",2002,2023,신당동,남산타운,7,4,59.94,844,11140,14
"90,000",2002,2023,신당동,남산타운,7,5,59.94,844,11140,4
"75,000",1999,2023,신당동,삼성,7,5,84.96,843,11140,13
"88,500",1999,2023,신당동,삼성,7,6,59.98,843,11140,8
"170,000",2002,2023,신당동,남산타운,7,7,114.88,844,11140,9
"67,800",2001,2023,신당동,한진해모로,7,8,59.76,845,11140,3
"140,000",2002,2023,신당동,남산타운,7,8,114.88,844,11140,16
"106,700",2005,2023,신당동,신당푸르지오,7,8,84.39,850,11140,23
"90,000",1999,2023,신당동,삼성,7,8,59.98,843,11140,12
"132,000",1999,2023,신당동,약수하이츠,7,8,114.92,842,11140,14
"105,000",2011,2023,신당동,청구e편한세상,7,9,59.89,852,11140,2
"100,000",2002,2023,신당동,노블레스2,7,10,74.1,432-1653,11140,4
"82,000",1999,2023,신당동,약수하이츠,7,12,57.63,842,11140,5
"113,500",2005,2023,신당동,신당푸르지오,7,12,84.39,850,11140,7
