query	no	title	link	description	total_text
전주 여행	1	전주여행 코스 추천	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=261431923&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0	안녕하세요 여자친구랑 전주여행을 갈예정인데 숙소를 전주 더클래식호텔로 잡고 1박2일 일정으로 여행을 가게되었습니다. 근데 금요일 오후 5시쯤 전주에 도착예정이고 자가차가 없어 이동수단을 대중교통과 택시로 할예정입니다.... 	전주여행 코스 추천 안녕하세요 여자친구랑 전주여행을 갈예정인데 숙소를 전주 더클래식호텔로 잡고 1박2일 일정으로 여행을 가게되었습니다. 근데 금요일 오후 5시쯤 전주에 도착예정이고 자가차가 없어 이동수단을 대중교통과 택시로 할예정입니다.... 
전주 여행	2	전주여행 갈곳, 전시회 추천	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=438462586&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0	제가 이번달 말에 남자친구랑 전주여행을 가는데요. 전주한옥마을만 가기엔 그래서 갈만한 곳, 공방, 전시회같은거 있음 추천부탁드려요ㅠㅠ 안녕하세요. 질문하신 [전주여행] 관련 답변 드리도록 하겠습니다. 전주로 놀러가시나 봅니다... 	전주여행 갈곳, 전시회 추천 제가 이번달 말에 남자친구랑 전주여행을 가는데요. 전주한옥마을만 가기엔 그래서 갈만한 곳, 공방, 전시회같은거 있음 추천부탁드려요ㅠㅠ 안녕하세요. 질문하신 [전주여행] 관련 답변 드리도록 하겠습니다. 전주로 놀러가시나 봅니다... 
전주 여행	3	여자2명이서2박3일로 전주여행질문	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=228331353&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0	... 아님 없으면 전주에있다가 다른지역으로 가깝게갈수 있는데 있으시면 알려주세요 7월 말에 여행가거든요 빨리 알려주세요  전주는 한국의 전통문화와 음식을 즐길 수 있는 곳으로 유명합니다. 전주 한옥마을, 전주한옥촌, 전주 향교... 	여자2명이서2박3일로 전주여행질문 ... 아님 없으면 전주에있다가 다른지역으로 가깝게갈수 있는데 있으시면 알려주세요 7월 말에 여행가거든요 빨리 알려주세요  전주는 한국의 전통문화와 음식을 즐길 수 있는 곳으로 유명합니다. 전주 한옥마을, 전주한옥촌, 전주 향교... 
전주 여행	4	1박2일 전주 혼자 여행 코스	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=432699551&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0	... 질문하신 전주 여행정보 정리해봤습니다. 참고해주세요. ㅎ 전주에서 가볼만한 곳 덕진공원(추천) 덕진공원이 전주터미널에서 가장 가까운 곳이에요. 산책하기에 좋은 호수공원이에요. 덕진공원을 생략하고 곧바로 남부시장과... 	1박2일 전주 혼자 여행 코스 ... 질문하신 전주 여행정보 정리해봤습니다. 참고해주세요. ㅎ 전주에서 가볼만한 곳 덕진공원(추천) 덕진공원이 전주터미널에서 가장 가까운 곳이에요. 산책하기에 좋은 호수공원이에요. 덕진공원을 생략하고 곧바로 남부시장과... 
전주 여행	5	전주 여행코스 짜주세요! 많이 급합니다..!	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=430866279&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0	안녕하세요.가족여행으로 전주에 놀러가려는데요. 당장 이번주 금요일에 가는데 어딜갈지 몰라서... 숙소는 라한호텔로 잡았고 한옥마을 쪽을 가고 싶은데 별로 걷지 않으면서 카페투어는 아닌 여행코스 짜주실 수 있나요? 호캉스로... 	전주 여행코스 짜주세요! 많이 급합니다..! 안녕하세요.가족여행으로 전주에 놀러가려는데요. 당장 이번주 금요일에 가는데 어딜갈지 몰라서... 숙소는 라한호텔로 잡았고 한옥마을 쪽을 가고 싶은데 별로 걷지 않으면서 카페투어는 아닌 여행코스 짜주실 수 있나요? 호캉스로... 
전주 여행	6	전주 여행가려는데..	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=432785295&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0	... 전주한옥마을 근처에서 숙박하며 여행한다면 어디어디 가고, 어떤 맛집이 좋은지, 버스나 택시타고 조금만 나가도 되는 가볼만한 곳이 어딘지 등등 추천해주세요^^ 2. 그외에 다른곳 어디... 	전주 여행가려는데.. ... 전주한옥마을 근처에서 숙박하며 여행한다면 어디어디 가고, 어떤 맛집이 좋은지, 버스나 택시타고 조금만 나가도 되는 가볼만한 곳이 어딘지 등등 추천해주세요^^ 2. 그외에 다른곳 어디... 
전주 여행	7	전주여행 볼거리	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=429817174&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0	이번주 전주여행 가는데 볼거리 맛집 등 알려주세요~ 전주에서 가볼만한 곳들 추천해드리겠습니다. ▶전주한옥마을 ▶전주동물원 ▶한국도로공사수목원 ▶덕진공원 ▶전주난장... 	전주여행 볼거리 이번주 전주여행 가는데 볼거리 맛집 등 알려주세요~ 전주에서 가볼만한 곳들 추천해드리겠습니다. ▶전주한옥마을 ▶전주동물원 ▶한국도로공사수목원 ▶덕진공원 ▶전주난장... 
전주 여행	8	전주여행 추천해주세요	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=272473514&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0	전주여행 추천해주세요  전주식 가맥문화의 전일슈퍼....등의 전주만의 술 문화 외에도 에피큐어 평점 AA를 받은 전주식 한정식의 최고봉 수구정, 전라회관, 궁.... 전주비빔밥의 최고봉 고궁, 성미당.... 토종 명품닭을 사용한 닭요리의... 	전주여행 추천해주세요 전주여행 추천해주세요  전주식 가맥문화의 전일슈퍼....등의 전주만의 술 문화 외에도 에피큐어 평점 AA를 받은 전주식 한정식의 최고봉 수구정, 전라회관, 궁.... 전주비빔밥의 최고봉 고궁, 성미당.... 토종 명품닭을 사용한 닭요리의... 
전주 여행	9	친구랑 전주 1박2일 여행	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=437672755&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0	... 에어비엔비로 아래숙소 예약하고 가세요 에어비앤비 '안노이에' 전주 여행 계획하는 분들이 있다면 에어비앤비를 추천한다 들어갔을 때 '아 너무 예쁘다' 말만 계속 반복했다 정말 정말 마음에 들었던 숙소 사진으로 다 담아본다... 	친구랑 전주 1박2일 여행 ... 에어비엔비로 아래숙소 예약하고 가세요 에어비앤비 '안노이에' 전주 여행 계획하는 분들이 있다면 에어비앤비를 추천한다 들어갔을 때 '아 너무 예쁘다' 말만 계속 반복했다 정말 정말 마음에 들었던 숙소 사진으로 다 담아본다... 
전주 여행	10	창원에서 전주여행	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=235789363&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0	창원에서 전주까지 1박2일 여행 갈려고하는데요 창원에서 전주 올라가면서 중간중간에 들려서 여행할만한 곳이있나요? 좀 알려두세요  진주에서 진주성과 진주비빔밥(전주비빔밥하고는 많이 달라요. 맛있음)을 드시고 산청ic에서... 	창원에서 전주여행 창원에서 전주까지 1박2일 여행 갈려고하는데요 창원에서 전주 올라가면서 중간중간에 들려서 여행할만한 곳이있나요? 좀 알려두세요  진주에서 진주성과 진주비빔밥(전주비빔밥하고는 많이 달라요. 맛있음)을 드시고 산청ic에서... 
