기준년월	지역명	지역코드	법정동	아파트	거래금액	년	월	일	건축년도	전용면적	층
202306	서울시 종로구	11110	 사직동	광화문스페이스본(101동~105동)	     138,000	2023	6	9	2008	95.88	9
202306	서울시 종로구	11110	 사직동	광화문스페이스본(101동~105동)	     170,000	2023	6	10	2008	146.92	8
202306	서울시 종로구	11110	 사직동	사직아파트	      84,000	2023	6	12	1970	116.23	6
202306	서울시 종로구	11110	 당주동	롯데미도파광화문빌딩	      93,000	2023	6	20	1981	149.95	9
202306	서울시 종로구	11110	 신문로2가	디팰리스	     408,000	2023	6	24	2020	148.111	10
202306	서울시 종로구	11110	 익선동	운현신화타워	      64,500	2023	6	24	1998	50.31	14
202306	서울시 종로구	11110	 익선동	현대뜨레비앙	      40,000	2023	6	27	2003	46.64	3
202306	서울시 종로구	11110	 효제동	포레스트힐시티	      17,300	2023	6	6	2017	15.879	5
202306	서울시 종로구	11110	 충신동	CS타워	      15,400	2023	6	22	2011	22.17	5
202306	서울시 종로구	11110	 명륜1가	렉스빌	      60,000	2023	6	25	2006	80.5	6
202306	서울시 종로구	11110	 명륜2가	아남2	     136,000	2023	6	14	1996	114.36	7
202306	서울시 종로구	11110	 숭인동	숭인한양LEEPS	      12,000	2023	6	1	2014	12.78	11
202306	서울시 종로구	11110	 숭인동	롯데캐슬천지인	     120,000	2023	6	24	2004	111.73	28
202306	서울시 종로구	11110	 숭인동	숭인상가	      65,000	2023	6	27	1979	78.75	7
202306	서울시 종로구	11110	 평동	경희궁자이(3단지)	     280,000	2023	6	22	2017	116.9383	9
202306	서울시 종로구	11110	 홍파동	경희궁자이(2단지)	     188,000	2023	6	8	2017	84.9443	14
202306	서울시 종로구	11110	 홍파동	경희궁자이(2단지)	     270,000	2023	6	14	2017	116.9862	20
202306	서울시 종로구	11110	 홍파동	경희궁자이(2단지)	     182,500	2023	6	22	2017	84.8359	10
202306	서울시 종로구	11110	 구기동	마운틴뷰	      56,000	2023	6	6	2019	76.66	1
202306	서울시 종로구	11110	 무악동	경희궁롯데캐슬	     116,500	2023	6	5	2019	59.6737	4
202306	서울시 종로구	11110	 무악동	경희궁롯데캐슬	     114,000	2023	6	7	2019	59.6737	2
202306	서울시 종로구	11110	 무악동	현대	     125,900	2023	6	9	2000	114.9	3
202306	서울시 종로구	11110	 무악동	인왕산아이파크	     130,000	2023	6	10	2008	84.858	15
202306	서울시 종로구	11110	 무악동	인왕산아이파크	     158,000	2023	6	10	2008	114.931	10
202306	서울시 종로구	11110	 무악동	경희궁롯데캐슬	     141,000	2023	6	14	2019	84.8792	8
202306	서울시 종로구	11110	 무악동	현대	      79,900	2023	6	19	2000	60	3
202306	서울시 종로구	11110	 무악동	현대	     108,900	2023	6	19	2000	84.92	5
202306	서울시 종로구	11110	 무악동	현대	     142,000	2023	6	20	2000	114.9	17
202306	서울시 종로구	11110	 무악동	인왕산2차아이파크	     115,500	2023	6	24	2015	84.2395	6
202306	서울시 종로구	11110	 무악동	인왕산아이파크	     129,500	2023	6	30	2008	84.858	7
202305	서울시 종로구	11110	 사직동	광화문스페이스본(101동~105동)	     174,000	2023	5	13	2008	146.92	3
202305	서울시 종로구	11110	 사직동	광화문스페이스본(101동~105동)	     185,000	2023	5	16	2008	160.85	7
202305	서울시 종로구	11110	 내수동	경희궁의아침4단지	     213,000	2023	5	17	2004	150.77	12
202305	서울시 종로구	11110	 내수동	경희궁의아침4단지	     180,000	2023	5	20	2004	124.17	13
202305	서울시 종로구	11110	 내수동	경희궁의아침4단지	     173,000	2023	5	21	2004	124.17	14
202305	서울시 종로구	11110	 익선동	현대뜨레비앙	      38,000	2023	5	11	2003	46.64	3
202305	서울시 종로구	11110	 익선동	현대뜨레비앙	      42,000	2023	5	26	2003	39.9	8
202305	서울시 종로구	11110	 효제동	포레스트힐시티	      17,000	2023	5	13	2017	16.672	4
202305	서울시 종로구	11110	 창신동	MID그린(4동)	      39,800	2023	5	2	2002	59.55	1
202305	서울시 종로구	11110	 숭인동	종로중흥S클래스	      13,400	2023	5	11	2013	19.466	13
202305	서울시 종로구	11110	 숭인동	블루빌	      28,000	2023	5	13	2017	44.56	5
202305	서울시 종로구	11110	 숭인동	삼전솔하임4차	      13,400	2023	5	17	2014	15.09	15
202305	서울시 종로구	11110	 숭인동	삼전솔하임4차	      13,400	2023	5	17	2014	15.09	15
202305	서울시 종로구	11110	 숭인동	종로중흥S클래스	      13,800	2023	5	22	2013	19.466	7
202305	서울시 종로구	11110	 숭인동	종로청계힐스테이트	     100,000	2023	5	24	2009	84.9478	20
202305	서울시 종로구	11110	 숭인동	버넷하임1	      12,600	2023	5	29	2013	17.96	15
202305	서울시 종로구	11110	 숭인동	종로아인스빌	      11,000	2023	5	30	2013	12.15	10
202305	서울시 종로구	11110	 평동	경희궁자이(3단지)	     170,000	2023	5	8	2017	77.6543	13
202305	서울시 종로구	11110	 평동	경희궁자이(3단지)	     149,000	2023	5	8	2017	59.8547	7
202305	서울시 종로구	11110	 평동	경희궁자이(3단지)	     189,500	2023	5	12	2017	84.8359	18
202305	서울시 종로구	11110	 평동	경희궁자이(3단지)	     184,000	2023	5	13	2017	84.8359	9
202305	서울시 종로구	11110	 평동	경희궁자이(3단지)	     187,000	2023	5	22	2017	84.8359	6
202305	서울시 종로구	11110	 홍파동	경희궁자이(2단지)	     183,000	2023	5	1	2017	84.8359	14
202305	서울시 종로구	11110	 평창동	크래스빌	     103,000	2023	5	31	2003	194.59	5
202305	서울시 종로구	11110	 무악동	현대	      79,790	2023	5	3	2000	60	7
202305	서울시 종로구	11110	 무악동	현대	      69,970	2023	5	4	2000	60	2
202305	서울시 종로구	11110	 무악동	현대	      70,000	2023	5	4	2000	60	2
202305	서울시 종로구	11110	 무악동	경희궁롯데캐슬	     112,000	2023	5	4	2019	59.6737	2
202305	서울시 종로구	11110	 무악동	현대	      86,990	2023	5	12	2000	60	5
202305	서울시 종로구	11110	 무악동	경희궁롯데캐슬	     114,000	2023	5	19	2019	59.6737	3
202305	서울시 종로구	11110	 무악동	인왕산아이파크	     120,000	2023	5	24	2008	84.858	14
202305	서울시 종로구	11110	 무악동	현대	     118,900	2023	5	25	2000	84.92	9
202305	서울시 종로구	11110	 무악동	현대	      82,800	2023	5	27	2000	60	14
202304	서울시 종로구	11110	 사직동	광화문스페이스본(101동~105동)	     190,000	2023	4	21	2008	160.85	12
202304	서울시 종로구	11110	 내수동	경희궁의아침3단지	     220,000	2023	4	12	2004	174.55	4
202304	서울시 종로구	11110	 익선동	현대뜨레비앙	      38,000	2023	4	11	2003	46.64	4
202304	서울시 종로구	11110	 인의동	효성쥬얼리시티	      90,000	2023	4	9	2006	92.81	14
202304	서울시 종로구	11110	 인의동	효성쥬얼리시티	      85,000	2023	4	21	2006	98.39	9
202304	서울시 종로구	11110	 명륜1가	송림아마레스아파트	      34,900	2023	4	15	2003	34.7	6
202304	서울시 종로구	11110	 숭인동	종로중흥S클래스	      13,500	2023	4	5	2013	19.466	16
